physical.condition_raw,merge.figure,physical.condition_main_analysis,physical.condition_sub_analysis,assigned.age,total.N,autism.N,rep.effect,SE,rep.metric,AorR
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,14.5,8234,93,3.16,0.2235,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,14.7,13132,159,1.84,0.1856,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,14.7,13132,159,2.18,0.1859,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,10,292572,48762,1.85,0.0193,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,7.9,820,276,1.789,0.164,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,7.01,153,40,0.08,1.4187,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,6.6,130,71,1.847,0.3606,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,12.3,72,36,0.143,1.4821,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,10,85726,454,1.29,0.0711,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,9.5,592,256,1.46,0.2188,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,10,111,53,1.97,0.5263,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,7.5,429,79,1.63,0.2451,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,13,141,67,5.52,1.0831,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,6.5,921,362,1.54,0.2489,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,13.5,32312,1144,1.87,0.056,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,10,1347,1073,1.12,0.1268,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,9.5,4082,2041,1.75,0.0987,OR,ratio
Rhinitis,Allergy,Allergic disease_ratio,,8.5,"33,390",5565,1.24,0.0716,OR,ratio
Rhinitis,Allergy,Allergic disease_ratio,,15,"33,390",5565,1.27,0.0623,OR,ratio
Rhinitis,Allergy,Allergic disease_ratio,,22.5,"33,390",5565,1.53,0.1123,OR,ratio
Rhinitis,Allergy,Allergic disease_ratio,,5,"33,390",5565,1.32,0.1933,OR,ratio
Sleep abnormalities,Sleep,Sleep_sleep problem_frequency,,8.4,,50,0.4,0.06928,frequency,frequency
Sleep abnormalities,Sleep,Sleep_sleep problem_frequency,,4,,783,0.2695,0.01586,frequency,frequency
Sleep abnormalities,Sleep,Sleep_sleep problem_frequency,,8,,1091,0.3712,0.01463,frequency,frequency
Sleep disorder,Sleep,Sleep_sleep problem_frequency,,9.2,,728,0.74,0.01626,frequency,frequency
Sleep disorder,Sleep,Sleep_sleep problem_frequency,,9,,2623,0.723,0.00874,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,8,,487,0.4846,0.02265,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,3.5,,2959,0.0639,0.0045,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,8,,17420,0.0587,0.00178,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,14.5,,15086,0.0514,0.0018,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,21,,8370,0.057,0.00253,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,37,,2722,0.068,0.00483,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,60,,386,0.1036,0.01551,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,3.5,,3440,0.1279,0.00569,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,8,,19527,0.1022,0.00217,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,14.5,,12954,0.0885,0.0025,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,21,,6716,0.0788,0.00329,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,37,,3807,0.0699,0.00413,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,60,,252,0.0952,0.01849,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,3.5,,110,0.0636,0.02327,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,8,,2813,0.1322,0.00639,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,14.5,,3371,0.1439,0.00605,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,21,,2467,0.1577,0.00734,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,37,,1667,0.171,0.00922,frequency,frequency
Sleep disturbances,Sleep,Sleep_sleep problem_frequency,,60,,428,0.1916,0.01902,frequency,frequency
Sleep problems,Sleep,Sleep_sleep problem_frequency,,12.7,,40,0.375,0.07655,frequency,frequency
Sleep problems,Sleep,Sleep_sleep problem_frequency,,12.7,,18,0.2778,0.10557,frequency,frequency
Sleep problems,Sleep,Sleep_sleep problem_frequency,,8.8,,49,0.2449,0.06143,frequency,frequency
Sleep problems,Sleep,Sleep_Sleep problem_ratio,,8.8,130,49,2.3193,0.3266,OR,ratio
sleep_anxiety,Sleep,Sleep_Sleep anxiety_SMD,,11.53,937,60,0.2504,0.1336,SMD,SMD
Sleep_awakening/hour,Sleep,Sleep_Night awakenings_SMD,,11.9,22,10,-0.258,0.4299,SMD,SMD
Sleep_awakening/hour,Sleep,Sleep_Night awakenings_SMD,,5.5,34,22,1.3189,0.3929,SMD,SMD
Sleep_awakening/hour,Sleep,Sleep_Night awakenings_SMD,,5.1,30,18,1.624,0.4276,SMD,SMD
Sleep_awakening/hour,Sleep,Sleep_Night awakenings_SMD,,9.4,34,16,0.6395,0.3522,SMD,SMD
Sleep_AWN/hour,Sleep,Sleep_Night awakenings_SMD,,12.7,20,8,0,0.4564,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,5.5,34,22,0.9565,0.3772,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,5.1,30,18,2.4602,0.4897,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,5.3,136,71,1.01,0.1811,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,8.5,212,122,0.31,0.1403,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,9.4,46,23,0.68,0.3036,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,4.7,266,104,1.82,0.1505,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,7.1,120,60,1.72,0.2143,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,6,546,212,0.26,0.0867,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,7.33,210,108,0.73,0.1429,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,8.2,274,106,0.69,0.1276,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,5,72,18,0.37,0.2755,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,8.1,66,35,0.77,0.2551,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,10.27,24,11,-0.07,0.4107,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,3.28,65,34,0.22,0.25,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,4.7,98,49,0.32,0.2015,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,9,77,35,0.56,0.2347,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,11.3,42,22,3.04,0.4643,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,9,403,31,0.11,0.1862,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,9.84,84,46,0.73,0.227,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,7.49,277,166,1.2,0.1327,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,7.53,99,59,0.54,0.2092,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,4.94,131,69,7.46,0.5,SMD,SMD
Sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,5.23,341,169,0.5,0.1097,SMD,SMD
sleep_bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,3.6,1203,734,0.8817,0.0618,SMD,SMD
sleep_bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,13.5,718,249,0.246,0.0787,SMD,SMD
sleep_bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,5.9,869,400,0.8393,0.071,SMD,SMD
sleep_bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,8.7,870,401,0.5988,0.0695,SMD,SMD
Sleep_bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,11.17,96,48,0.4368,0.2065,SMD,SMD
sleep_bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,11.53,925,60,0.2255,0.1336,SMD,SMD
sleep_Bedtime resistance,Sleep,Sleep_Bedtime resistance_SMD,,6.225,21,11,0.94,0.4668,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,5.5,34,22,0.0679,0.359,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,5.1,30,18,0.0791,0.3728,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,5.3,136,71,0.6,0.176,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,8.5,212,122,-0.29,0.1378,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,7.09,67,34,0.19,0.2449,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,9.4,46,23,0.5,0.2985,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,4.7,266,104,0.32,0.1276,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,7.1,120,60,0.55,0.1862,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,6,546,212,-0.27,0.0893,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,4.45,1158,193,0.5,0.0791,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,7.33,210,108,-0.03,0.1403,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,8.2,274,106,-0.08,0.125,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,5,72,18,0.9,0.2806,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,8.1,66,35,0.82,0.2577,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,10.27,24,11,0.38,0.4133,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,3.28,65,34,0.55,0.2526,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,4.7,98,49,-0.04,0.2015,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,9,77,35,0.12,0.2296,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,11.3,42,22,3.52,0.5077,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,9,403,31,0.21,0.1862,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,9.84,84,46,0.85,0.2296,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,11.66,119,64,0.91,0.1939,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,10.1,113,52,0.66,0.1939,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,7.49,277,166,-0.71,0.1276,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,16.88,29,19,-0.38,0.3929,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,9.12,47,12,0.55,0.3393,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,7.53,99,59,0.2,0.2041,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,4.94,131,69,0.13,0.176,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,9.6,310,67,0.66,0.1429,SMD,SMD
Sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,5.23,341,169,0.04,0.1071,SMD,SMD
sleep_daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,3.6,1203,734,0.7878,0.0613,SMD,SMD
sleep_daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,13.5,718,249,1.465,0.0874,SMD,SMD
sleep_daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,5.9,869,400,0.9276,0.0716,SMD,SMD
sleep_daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,8.7,870,401,1.0425,0.0725,SMD,SMD
sleep_daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,11.17,96,48,0.0065,0.2041,SMD,SMD
sleep_daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,11.53,938,60,-0.7861,0.1347,SMD,SMD
Sleep_daytime sleepiness,Sleep,Sleep_daytime sleepiness_SMD,,34.41,72,36,0.43,0.2398,SMD,SMD
Sleep_daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,27.2,30,20,1.29,0.426,SMD,SMD
sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,3.92,137,68,0.11,0.1709,SMD,SMD
sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,6.225,21,11,0.81,0.4592,SMD,SMD
sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,11.66,117,64,0.91,0.1939,SMD,SMD
sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,10.1,113,52,0.66,0.1939,SMD,SMD
sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,3.9,168,84,0.4,0.1556,SMD,SMD
sleep_Daytime sleepiness,Sleep,Sleep_Daytime sleepiness_SMD,,4.8,219,73,0.28,0.1429,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,5.3,136,71,1.08,0.1837,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,8.5,212,122,0.55,0.1429,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,7.09,33,27,0.17,0.4515,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,9.4,46,23,1.27,0.324,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,8.89,50,21,1.31,0.3189,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,7.1,120,60,1.33,0.2015,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,6,546,212,0.28,0.0867,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,9,115,58,-0.86,0.1939,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,4.45,1158,193,0.37,0.0791,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,7.33,210,108,0.69,0.1429,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,8.1,66,35,1.05,0.2628,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,10.27,24,11,0.23,0.4107,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,3.28,65,34,0.58,0.2526,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,4.7,98,49,0.4,0.2041,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,9,77,35,0.33,0.2296,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,8.2,274,106,0.94,0.1301,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,5.7,157,93,1.15,0.1735,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,9,403,31,0.62,0.1888,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,9.84,84,46,1.29,0.2398,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,11.66,119,64,1.33,0.2041,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,10.1,113,52,1.16,0.2041,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,7.49,277,166,1.55,0.1403,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,16.88,29,19,0.21,0.3929,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,7.53,99,59,0.91,0.2168,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,4.94,131,69,8.15,0.5383,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,9.6,310,67,1.01,0.1454,SMD,SMD
Sleep_General sleep problems,Sleep,Sleep_Sleep problem_SMD,,5.23,341,169,0.36,0.1097,SMD,SMD
Sleep_global score,Sleep,Sleep_Sleep problem_SMD,,34.41,72,36,-0.3876,0.2379,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,5.3,136,71,-0.2,0.1709,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,8.5,212,122,0.28,0.1403,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,9.4,46,23,0.76,0.3061,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,4.7,266,104,1.55,0.1429,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,7.1,120,60,0.89,0.1913,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,6,546,212,0.31,0.0893,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,7.33,210,108,0.62,0.1429,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,8.2,274,106,0.89,0.1276,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,5,72,18,0.83,0.2806,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,8.1,66,35,0.07,0.2474,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,10.27,24,11,-0.32,0.4133,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,3.28,65,34,0.13,0.2474,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,4.7,98,49,0.39,0.2041,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,9,77,35,0.21,0.2296,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,11.3,42,22,2.45,0.4158,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,9,403,31,0.67,0.1888,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,9.84,84,46,0.29,0.2194,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,7.53,99,59,0.56,0.2092,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,4.94,131,69,4.69,0.3418,SMD,SMD
Sleep_Night awakenings,Sleep,Sleep_Night awakenings_SMD,,5.23,341,169,0.41,0.1097,SMD,SMD
sleep_night waking,Sleep,Sleep_Night awakenings_SMD,,3.6,1203,734,0.9038,0.0619,SMD,SMD
sleep_night waking,Sleep,Sleep_Night awakenings_SMD,,13.5,718,249,0.4185,0.0792,SMD,SMD
sleep_night waking,Sleep,Sleep_Night awakenings_SMD,,5.9,869,400,0.8122,0.0708,SMD,SMD
sleep_night waking,Sleep,Sleep_Night awakenings_SMD,,8.7,870,401,0.5678,0.0694,SMD,SMD
Sleep_night waking,Sleep,Sleep_Night awakenings_SMD,,11.17,96,48,0.9082,0.2144,SMD,SMD
sleep_night waking,Sleep,Sleep_Night awakenings_SMD,,11.53,930,60,0.5704,0.1341,SMD,SMD
sleep_Night waking,Sleep,Sleep_Night awakenings_SMD,,6.225,21,11,0.69,0.4541,SMD,SMD
Sleep_Night-wakings,Sleep,Sleep_Night awakenings_SMD,,5.5,34,22,0.8877,0.3747,SMD,SMD
Sleep_Night-wakings,Sleep,Sleep_Night awakenings_SMD,,5.1,30,18,2.6672,0.5074,SMD,SMD
Sleep_no of awakening,Sleep,Sleep_Night awakenings_SMD,,18.2,18,10,1.7025,0.5527,SMD,SMD
Sleep_no of awakenings,Sleep,Sleep_Night awakenings_SMD,,34.41,72,36,0.49,0.2398,SMD,SMD
Sleep_no of awakenings,Sleep,Sleep_Night awakenings_SMD,,21.1,105,27,0.48,0.227,SMD,SMD
Sleep_no of awakenings,Sleep,Sleep_Night awakenings_SMD,,21.1,32,16,0.59,0.3622,SMD,SMD
Sleep_no of awakenings,Sleep,Sleep_Night awakenings_SMD,,27.2,30,20,0.74,0.4005,SMD,SMD
Sleep_no of awakenings,Sleep,Sleep_Night awakenings_SMD,,27.2,30,20,0.17,0.3878,SMD,SMD
Sleep_no of awakenings,Sleep,Sleep_Night awakenings_SMD,,27.2,30,20,0.58,0.3954,SMD,SMD
sleep_Number of awakenings per hour,Sleep,Sleep_Night awakenings_SMD,,8.72,18,13,0.27,0.5281,SMD,SMD
Sleep_parasomnia,Sleep,Sleep_Parasomnias_SMD,,11.17,96,48,0.2573,0.205,SMD,SMD
Sleep_parasomnias,Sleep,Sleep_Parasomnias_ratio,,6.35,,48762,2.56,0.0487,RR,ratio
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,5.5,34,22,0.1296,0.3592,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,5.1,30,18,0.1452,0.3732,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,5.3,136,71,0.96,0.1837,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,8.5,212,122,0.11,0.1403,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,9.4,46,23,0.81,0.3087,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,4.7,266,104,0.53,0.1276,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,7.1,120,60,0.74,0.1888,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,6,546,212,0.14,0.0867,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,4.45,1158,193,0.32,0.0791,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,7.33,210,108,0.28,0.1378,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,8.2,274,106,0.68,0.1276,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,5,72,18,1.31,0.2959,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,8.1,66,35,1.17,0.2679,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,10.27,24,11,0.17,0.4107,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,3.28,65,34,0.65,0.2551,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,4.7,98,49,0.23,0.2041,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,9,77,35,-0.06,0.227,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,11.3,42,22,3.97,0.5485,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,9,403,31,0.22,0.1862,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,9.84,84,46,0.98,0.2321,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,7.49,277,166,1.13,0.1327,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,7.53,99,59,0.83,0.2143,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,4.94,131,69,7.05,0.4541,SMD,SMD
Sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,5.23,341,169,0.3,0.1097,SMD,SMD
sleep_parasomnias,Sleep,Sleep_Parasomnias_SMD,,3.6,1203,734,0.9385,0.0621,SMD,SMD
sleep_parasomnias,Sleep,Sleep_Parasomnias_SMD,,13.5,718,249,0.3789,0.0791,SMD,SMD
sleep_parasomnias,Sleep,Sleep_Parasomnias_SMD,,5.9,869,400,0.8918,0.0713,SMD,SMD
sleep_parasomnias,Sleep,Sleep_Parasomnias_SMD,,8.7,870,401,0.7127,0.0701,SMD,SMD
sleep_parasomnias,Sleep,Sleep_Parasomnias_SMD,,11.53,914,60,0.22,0.1337,SMD,SMD
sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,6.225,21,11,1.09,0.4745,SMD,SMD
sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,10.1,113,52,0.67,0.1939,SMD,SMD
sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,3.9,168,84,0.18,0.1531,SMD,SMD
sleep_Parasomnias,Sleep,Sleep_Parasomnias_SMD,,4.8,219,73,-0.12,0.1454,SMD,SMD
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,12.26,30,18,-0.54,0.3801,SMD,SMD
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,13.3,9,4,3.92,1.4005,SMD,SMD
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,10.36,18,13,-0.72,0.5434,SMD,SMD
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,7.8,44,21,-0.55,0.3087,SMD,SMD
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,10.27,24,11,0.18,0.4107,SMD,SMD
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,11.3,36,19,-2.82,0.4847,SMD,SMD
